SMILES,y_true,y_pred
OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,-0.77,-0.974
Cc1occc1C(=O)Nc2ccccc2,-3.3,-2.885
CC(C)=CCCC(C)=CC(=O),-2.06,-2.579
c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,-7.87,-6.618
c1ccsc1,-1.33,-2.232
c2ccc1scnc1c2 ,-1.5,-2.733
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,-7.32,-6.545
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,-5.03,-4.138
ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,-6.29,-4.533
COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,-4.42,-5.246
O=C1CCCN1,1.07,0.243
Clc1ccc2ccccc2c1,-4.14,-4.063
CCCC=C,-2.68,-2.01
CCC1(C(=O)NCNC1=O)c2ccccc2,-2.64,-1.897
CCCCCCCCCCCCCC,-7.96,-5.45
CC(C)Cl,-1.41,-1.585
CCC(C)CO,-0.47,-1.027
N#Cc1ccccc1,-1.0,-2.03
CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,-3.64,-3.989
CCCCCCCCCC(C)O,-2.94,-3.096
Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,-7.43,-6.627
O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,-4.594,-3.355
CCOP(=S)(OCC)SCSCC,-4.11,-3.747
CCOc1ccc(NC(=O)C)cc1,-2.35,-2.342
CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,-5.47,-4.479
CCCCCCCO,-1.81,-1.751
Cn1c(=O)n(C)c2nc[nH]c2c1=O,-1.39,-1.452
CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.661,-1.974
ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-6.9,-6.553
CCCCCCCC(=O)OC,-3.17,-2.608
CCc1ccc(CC)cc1,-3.75,-3.633
CCOP(=S)(OCC)SCSC(C)(C)C,-4.755,-4.367
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.805,-4.229
ClC(=C)Cl,-1.64,-1.939
Cc1cccc2c1Cc3ccccc32,-5.22,-4.478
CCCCC=O,-0.85,-1.103
N(c1ccccc1)c2ccccc2,-3.504,-3.857
CN(C)C(=O)SCCCCOc1ccccc1,-3.927,-3.297
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-4.15,-4.637
CCCCCCCI,-4.81,-3.904
c1c(Cl)cccc1c2ccccc2,-4.88,-4.685
OCCCC=C,-0.15,-0.791
O=C2NC(=O)C1(CCC1)C(=O)N2,-1.655,-0.527
CC(C)C1CCC(C)CC1O ,-2.53,-2.782
CC(C)OC=O,-0.63,-0.684
CCCCCC(C)O,-1.55,-1.678
CC(=O)Nc1ccc(Br)cc1,-3.083,-3.012
c1ccccc1n2ncc(N)c(Br)c2(=O),-3.127,-3.005
COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C ,-4.76,-4.248
c2c(C)cc1nc(C)ccc1c2 ,-1.94,-3.342
CCCCCCC#C,-3.66,-2.509
CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ,-2.17,-2.421
c1ccc2c(c1)ccc3c4ccccc4ccc23,-8.057,-5.568
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O ,-2.523,-3.419
Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-8.6,-7.185
Cc1ccccc1O,-0.62,-2.281
CC(C)CCC(C)(C)C,-5.05,-3.631
Cc1ccc(C)c2ccccc12,-4.14,-4.147
Cc1cc2c3ccccc3ccc2c4ccccc14,-6.57,-5.931
CCCC(=O)C,-0.19,-0.846
Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-9.15,-8.304
CCCOC(=O)CC,-0.82,-1.545
CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,-3.68,-2.734
Nc1ccc(O)cc1,-0.8,-1.231
O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,-2.81,-2.321
OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,-5.931,-6.269
CCNc1nc(Cl)nc(n1)N(CC)CC,-4.06,-3.233
NC(=O)c1cnccn1,-0.667,-0.674
CCC(Br)(CC)C(=O)NC(N)=O,-2.68,-2.198
Clc1ccccc1c2ccccc2Cl ,-5.27,-4.984
O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 ,-3.38,-1.243
Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,-5.46,-5.361
CC1(C)C2CCC1(C)C(=O)C2,-1.96,-2.158
O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,-2.369,-2.36
CCCCC(=O)OCC,-2.25,-1.899
CC(C)CCOC(=O)C,-1.92,-1.817
O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.886,-4.153
Clc1cccc(c1)c2cc(Cl)ccc2Cl ,-6.01,-5.762
CCCBr,-1.73,-1.949
CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,-3.493,-4.603
COP(=S)(OC)SCC(=O)N(C)C=O,-1.995,-2.087
Cc1ncnc2nccnc12,-0.466,-1.24
NC(=S)N,0.32,0.329
Cc1ccc(C)cc1,-2.77,-3.035
CCc1ccccc1CC,-3.28,-3.601
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67,-4.215
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,-6.876,-6.878
CCCN(=O)=O,-0.8,-0.816
CC(C)C1CCC(C)CC1=O,-2.35,-2.516
CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,-5.36,-4.423
O=N(=O)c1c(Cl)c(Cl)ccc1,-3.48,-3.322
CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ,-3.46,-3.063
c1ccc2c(c1)c3cccc4cccc2c34,-6.0,-4.957
CCCOC(C)C,-1.34,-1.354
Cc1cc(C)c2ccccc2c1,-4.29,-4.147
CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,-4.07,-5.074
c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,-5.64,-3.995
Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,-7.25,-6.312
C1OC1c2ccccc2 ,-1.6,-1.826
CC(C)c1ccccc1,-3.27,-3.265
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-3.45,-3.939
c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) ,-5.43,-4.438
C1OC(O)C(O)C(O)C1O,0.39,0.601
ClCCl,-0.63,-1.156
CCc1cccc2ccccc12,-4.17,-4.1
COC=O,0.58,-0.048
Oc1ccccc1N(=O)=O,-1.74,-2.318
Cc1c[nH]c(=O)[nH]c1=O ,-1.506,-0.78
CC(C)C,-2.55,-1.891
OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,-1.23,-0.834
Oc1c(I)cc(C#N)cc1I,-3.61,-4.615
Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,-4.7,-5.032
CCCCC,-3.18,-2.261
c1ccccc1O,0.0,-1.991
Nc3ccc2cc1ccccc1cc2c3 ,-5.17,-3.789
Cn1cnc2n(C)c(=O)[nH]c(=O)c12 ,-2.523,-1.05
c1ccc2cnccc2c1,-1.45,-2.531
COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,-4.432,-5.106
CCCCCCc1ccccc1,-5.21,-4.22
Clc1ccccc1c2ccccc2,-4.54,-4.528
CCCC(=C)C,-3.03,-2.348
CC(C)C(C)C(C)C,-4.8,-3.276
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65,-5.168
Oc1cccc(c1)N(=O)=O,-1.01,-2.318
CCCCCCCCC=C,-5.51,-3.781
CC(=O)OCC(COC(=O)C)OC(=O)C,-0.6,-1.285
CCCCc1c(C)nc(nc1O)N(C)C ,-2.24,-3.57
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,-7.337,-6.84
c1ccncc1,0.76,-1.481
CCCCCCCBr,-4.43,-3.366
Cc1ccncc1C,0.36,-2.067
CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO ,-3.43,-3.172
CCSCc1ccccc1OC(=O)NC ,-2.09,-2.855
CCOC(=O)CC(=O)OCC,-0.82,-1.413
CC1=CCC(CC1)C(C)=C,-4.26,-3.429
C1Cc2ccccc2C1,-3.04,-3.057
CC(C)(C)c1ccc(O)cc1,-2.41,-3.192
O=C2NC(=O)C1(CC1)C(=O)N2 ,-1.886,-0.088
Clc1cccc(I)c1,-3.55,-4.384
Brc1cccc2ccccc12,-4.35,-4.434
CC/C=C/C,-2.54,-2.076
Cc1cccc(C)n1,0.45,-2.098
ClC=C(Cl)Cl,-1.96,-2.312
Nc1cccc2ccccc12,-1.92,-2.721
Cc1cccc(C)c1,-2.82,-3.035
Oc2ncc1nccnc1n2,-1.947,-1.404
CO,1.57,0.441
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.468,-2.312
CCC(=O)C,0.52,-0.491
Fc1c[nH]c(=O)[nH]c1=O ,-1.077,-0.792
Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O ,-1.95,-0.892
Oc1cccc(O)c1,0.81,-1.59
CCCCCCO,-1.24,-1.397
CCCCCCl,-2.73,-2.294
C=CC=C,-1.87,-1.376
CCCOC(=O)C,-0.72,-1.125
Oc2ccc1CCCCc1c2 ,-1.99,-3.086
NC(=O)CCl ,-0.02,-0.106
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.62,-6.148
Cc1ccc(Cl)cc1,-3.08,-3.297
CSc1nnc(c(=O)n1N)C(C)(C)C,-2.253,-2.324
Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1,-6.01,-6.39
CCCCCC=O,-1.3,-1.457
CCCCOC(=O)c1ccc(N)cc1,-3.082,-3.039
O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 ,-3.043,-3.049
CC(C)=CCC/C(C)=C\CO,-2.46,-2.603
Clc1ccc(cc1)c2ccccc2Cl ,-5.28,-5.142
O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.523,-4.84
CCN(=O)=O,-0.22,-0.462
CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-6.124,-5.063
Clc1ccc(Cl)c(Cl)c1Cl,-4.57,-4.546
CCCC(C)(COC(N)=O)COC(N)=O ,-1.807,-1.376
CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C ,-4.65,-4.342
CI,-1.0,-1.646
CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,-1.13,-1.532
O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.301,-4.496
CC1=CC(=O)CC(C)(C)C1 ,-1.06,-2.015
O=C1NC(=O)NC(=O)C1(CC)C(C)CC,-2.39,-1.958
CCCCC(=O)CCCC,-2.58,-2.329
CCC1(CCC(=O)NC1=O)c2ccccc2 ,-2.337,-2.591
CCC(C)CC,-3.68,-2.6
CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3,-8.6,-6.896
Cc1ccccc1n3c(C)nc2ccccc2c3=O,-2.925,-3.881
ClCC#N,-0.092,-0.448
CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-5.752,-5.225
CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C ,-5.66,-3.858
c1ccnnc1,1.1,-0.619
Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63,-4.621
C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,-7.32,-5.681
Nc1ccccc1O,-0.72,-1.465
CCCCCCCCC(=O)OCC,-3.8,-3.316
COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C ,-1.601,-2.87
CNC(=O)Oc1ccccc1OC(C)C,-2.05,-2.409
CCC(C)Cl,-1.96,-1.94
Oc1ccc2ccccc2c1,-2.28,-3.08
CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C,-5.696,-5.265
CCCCC#C,-2.36,-1.801
CCCCCCCC#C,-4.24,-2.864
Cc1ccccc1Cl,-3.52,-3.297
CC(C)OC(C)C,-1.1,-1.281
Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,-3.094,-2.464
CNN,1.34,0.543
CC#C,-0.41,-0.672
CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.862,-4.557
CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,-3.408,-2.826
C=CC=O,0.57,-0.184
O=c1[nH]cnc2nc[nH]c12 ,-2.296,-0.656
Oc2ccc1ncccc1c2 ,-2.16,-2.725
Fc1ccccc1,-1.8,-2.514
CCCCl,-1.47,-1.585
CCOC(=O)C,-0.04,-0.77
CCCC(C)(C)C,-4.36,-2.938
Cc1cc(C)c(C)c(C)c1C,-4.0,-3.993
CC12CCC(CC1)C(C)(C)O2 ,-1.64,-2.579
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896,-4.726
Clc1ccc(cc1)c2ccc(Cl)cc2 ,-6.56,-5.299
Cc1cccnc1C,0.38,-2.067
CC(=C)C1CC=C(C)C(=O)C1,-2.06,-2.042
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.736,-5.828
COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67,-3.571,-3.292
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804,-6.007
Cc1ccc(cc1N(=O)=O)N(=O)=O,-2.82,-2.604
c1c(Br)ccc2ccccc12 ,-4.4,-4.434
CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34,-1.846
COc2cnc1ncncc1n2,-1.139,-1.589
Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34 ,-3.19,-3.397
CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C,-3.658,-3.76
CC(=C)C=C,-2.03,-1.714
CC(C)=CCCC(O)(C)C=C,-1.99,-2.399
COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.57,-4.265
OC1CCCCC1,-0.44,-1.261
O=C1NC(=O)NC(=O)C1(C)CC=C,-1.16,-1.013
CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O,-4.16,-3.882
OCC(O)C(O)C(O)C(O)CO ,0.06,0.647
Cc1ccc(cc1)c2ccccc2,-4.62,-4.424
CCNc1nc(Cl)nc(NC(C)C)n1,-3.85,-3.069
NC(=S)Nc1ccccc1,-1.77,-1.701
CCCC(=O)CCC,-1.3,-1.62
CC(=O)C(C)(C)C,-0.72,-1.25
Oc1ccc(Cl)cc1,-0.7,-2.761
O=C1CCCCC1,-0.6,-0.996
Cc1cccc(N)c1,-0.85,-1.954
ClC(Cl)(Cl)C#N,-2.168,-2.019
CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,-4.046,-4.029
CCCCCCCCC(=O)C,-3.3,-2.617
CCN(CC)c1nc(Cl)nc(NC(C)C)n1,-3.785,-3.497
CCOC(=O)c1ccc(N)cc1,-2.616,-2.383
Clc1ccc(Cl)c(Cl)c1,-3.59,-4.083
Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,-4.09,-3.948
Oc1ccccc1O,0.62,-1.635
CCN2c1ncccc1N(C)C(=O)c3cccnc23 ,-2.62,-2.794
CSC,-0.45,-0.758
Cc1ccccc1Br,-2.23,-3.667
CCOC(=O)N,0.85,-0.218
CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O ,-5.35,-4.417
CC(C)C(O)C(C)C,-1.22,-1.647
c1ccc2ccccc2c1,-3.6,-3.468
CCNc1ccccc1,-1.7,-2.389
O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,-4.097,-3.057
Cc1c2ccccc2c(C)c3ccc4ccccc4c13,-7.02,-6.297
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34,-5.026
COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,-6.89,-5.538
Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F ,-7.28,-5.462
O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.678,-3.81
CN(C)C(=O)Nc1ccc(Cl)cc1,-2.89,-2.671
OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,-3.37,-3.569
CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O ,-4.13,-3.876
CCCCBr,-2.37,-2.303
Brc1cc(Br)c(Br)cc1Br,-6.98,-6.001
CC(C)CC(=O)C,-0.74,-1.184
CCSC(=O)N(CC)C1CCCCC1 ,-3.4,-3.35
COc1ccc(Cl)cc1,-2.78,-3.057
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.402,-7.44
CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-2.016,-2.06
COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,-4.04,-3.845
Ic1cccc2ccccc12,-4.55,-4.889
OCC(O)C(O)C(O)C(O)CO,1.09,0.647
CCS,-0.6,-0.968
ClCC(Cl)Cl,-1.48,-1.961
CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,-2.09,-3.141
NC(=O)c1ccccc1O,-1.82,-1.942
Cc1ccccc1N(=O)=O,-2.33,-2.589
O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,-2.766,-1.942
CCc1ccccc1C,-3.21,-3.296
CCCCCCCCl,-4.0,-3.003
O=C1NC(=O)NC(=O)C1(CC)CC,-2.4,-1.265
C(Cc1ccccc1)c2ccccc2,-4.62,-4.301
ClC(Cl)C(Cl)Cl,-1.74,-2.549
CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23 ,-5.153,-4.228
Cc1ccc2c(ccc3ccccc32)c1,-5.84,-4.87
CCCCOC(=O)c1ccccc1C(=O)OCCCC ,-4.4,-4.378
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl ,-4.02,-4.299
CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,0.523,-2.426
CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O,-5.282,-3.555
CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,-4.576,-3.719
COc1ccc(cc1)N(=O)=O,-2.41,-2.522
CCCCCCCl,-3.12,-2.648
Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,-9.16,-8.468
OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,-0.41,0.496
CCCCCCCCCCCCCCCCCCCCCCCCCC,-8.334,-9.702
CCN2c1ccccc1N(C)C(=O)c3cccnc23 ,-3.324,-3.471
CC(Cl)Cl,-1.29,-1.576
Nc1ccc(cc1)S(N)(=O)=O,-1.34,-0.954
CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,-6.49,-5.306
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64,-4.009
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-4.194,-4.538
Clc1cccc(Cl)c1Cl,-4.0,-4.008
ClC(Cl)(Cl)Cl,-2.31,-2.607
O=N(=O)c1cc(Cl)c(Cl)cc1,-3.2,-3.448
OC1CCCCCCC1,-1.29,-2.14
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.999,-4.073
CCOc1ccc(NC(N)=O)cc1,-2.17,-2.167
C/C1CCC(\C)CC1,-4.47,-3.305
c1cnc2c(c1)ccc3ncccc23,-2.68,-2.994
COC(C)(C)C,-0.24,-0.984
COc1ccc(C=CC)cc1,-3.13,-3.254
CCCCCCCCCCCCCCCCO,-7.0,-4.94
O=c1cc[nH]c(=O)[nH]1 ,-1.488,-0.441
Nc1ncnc2nc[nH]c12 ,-2.12,-1.255
Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl ,-7.21,-6.709
COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 ,-2.596,-2.181
c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,-8.23,-6.007
O=C(Nc1ccccc1)Nc2ccccc2,-3.15,-3.611
CCC1(C(=O)NC(=O)NC1=O)c2ccccc2 ,-2.322,-2.272
Clc1ccc(cc1)c2cccc(Cl)c2Cl ,-6.29,-5.686
CC(C)c1ccc(NC(=O)N(C)C)cc1,-3.536,-2.867
CCN(CC)C(=O)CSc1ccc(Cl)nn1,-1.716,-2.231
CCC(C)(C)CO,-1.04,-1.365
CCCOC(=O)CCC,-1.75,-1.899
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,-3.22,-2.606
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.2,-4.99
C1CCCCCC1,-3.51,-2.916
CCCOC=O,-0.49,-0.757
CC(C)c1ccccc1C,-3.76,-3.585
Nc1cccc(Cl)c1,-1.37,-2.392
CC(C)CC(C)C,-4.26,-2.938
o1c2ccccc2c3ccccc13,-4.6,-4.201
CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,-3.42,-3.184
CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,-3.43,-3.065
c3ccc2nc1ccccc1cc2c3,-3.67,-3.846
CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.11,-2.893
OCC1OC(O)C(O)C(O)C1O,0.74,0.501
Cc1cccc(O)c1,-0.68,-2.313
CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O ,-3.586,-4.345
CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 ,-6.005,-4.731
O=N(=O)c1ccc(cc1)N(=O)=O,-3.39,-2.281
CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,-2.696,-2.781
CCCCCCCCCC(=O)OCC,-4.1,-3.671
CN(C)C(=O)Nc1ccccc1,-1.6,-1.847
CCCOCC,-0.66,-1.072
CC(C)O,0.43,-0.261
Cc1ccc2ccccc2c1,-3.77,-3.802
ClC(Br)Br,-1.9,-2.54
CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,-4.43,-4.854
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37,-3.391
ClCc1ccccc1,-2.39,-2.887
C/C=C/C=O,0.32,-0.604
CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,-3.924,-3.938
Cc1c2ccccc2c(C)c3ccccc13,-6.57,-5.228
CCCCCC(=O)OC,-1.87,-1.899
CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,-4.328,-3.831
CC(=O)Nc1ccc(F)cc1,-1.78,-2.181
CCc1cccc(CC)c1N(COC)C(=O)CCl ,-3.26,-3.319
C1CCC=CC1,-2.59,-2.16
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.09,-3.159
c1cncnc1,1.1,-0.884
Clc1ccc(cc1)N(=O)=O,-2.92,-2.901
CCC(=O)OC,-0.14,-0.836
Clc1ccccc1N(=O)=O,-2.55,-2.775
CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.77,-4.157
CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,-1.877,-2.398
O=N(=O)c1ccccc1,-1.8,-2.288
Ic1ccccc1,-3.01,-3.8
CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O ,-3.78,-3.777
COc1ccccc1OCC(O)COC(N)=O,-0.985,-1.428
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC ,-4.19,-4.347
Oc1cccc(Cl)c1Cl,-1.3,-3.144
CCCC(=O)OC,-1.92,-1.191
